Date,Open,High,Low,Close,Adj Close,Volume
4/27/2017,773.049988,786.974976,773.049988,784.299988,764.379395,8090210
4/28/2017,779.950012,779.950012,768.549988,773.25,753.609985,2718864
5/2/2017,773.5,775.450012,765.174988,770.299988,750.734863,2003520
5/3/2017,777.125,777.125,769.674988,772.150024,752.537964,1253982
5/4/2017,769.625,771.450012,761.299988,767.400024,747.90863,2565514
5/5/2017,771.049988,771.450012,763.150024,766.099976,746.641541,1378948
5/8/2017,769,770,764.275024,767.400024,747.90863,1873626
5/9/2017,767.400024,772.799988,766.325012,767.875,748.37146,1672918
5/10/2017,770,777.5,768.525024,775.900024,756.192688,1171122
5/11/2017,775.5,780,770.5,773.200012,753.561279,1937872
5/12/2017,772.950012,778.450012,768.099976,775.825012,756.119629,3073802
5/15/2017,775,778.599976,771.125,776.700012,756.972351,1402390
5/16/2017,777.5,781,774.125,779.825012,760.018066,1795188
5/17/2017,779.400024,782.700012,775.75,778.575012,758.799744,1736236
5/18/2017,774.5,780.75,774.049988,778.549988,758.775391,1553640
5/19/2017,779.75,784.950012,772.625,780.625,760.797607,1427068
5/22/2017,782.549988,790,781.549988,788,767.985291,1430026
5/23/2017,790,791.775024,782.5,784.549988,764.623047,1540086
5/24/2017,784.525024,787.724976,781,783.375,763.477783,1733694
5/25/2017,783.549988,814.700012,783.549988,808.575012,788.037842,10045402
5/26/2017,803.325012,816,800.549988,813,792.350464,2721578
5/29/2017,809.900024,824,808.825012,815.950012,795.225403,2958170
5/30/2017,815,816.75,808.075012,814.525024,793.83667,2217092
5/31/2017,812.5,821.5,811.575012,818.099976,797.320801,2659456
6/1/2017,819.5,819.924988,810.275024,814.299988,793.61731,1679770
6/2/2017,817,823.049988,813.099976,817.125,796.370605,1606772
6/5/2017,816.849976,819.474976,812.5,817.775024,797.004089,1449950
6/6/2017,817.5,821.900024,815,819.474976,798.660889,2501316
6/7/2017,820.200012,822.450012,815.174988,820.400024,799.562439,1277138
6/8/2017,821.950012,829.700012,820.825012,822.375,801.487183,2124384
6/9/2017,820.049988,835,820.049988,833.400024,812.232239,2652636
6/12/2017,832,838,830,834.375,813.182434,1985706
6/13/2017,830.875,845.950012,830.5,838.349976,817.056458,2525810
6/14/2017,837.5,839.974976,833.5,835.599976,814.376343,1929180
6/15/2017,834,837.799988,826.799988,832.174988,811.03833,1763346
6/16/2017,832.5,837.349976,829.049988,834.625,813.426086,1877552
6/19/2017,835.5,848,834.200012,846.450012,824.950806,1912766
6/20/2017,845,847,839.924988,843.275024,821.856506,1830132
6/21/2017,841.299988,850.625,839.799988,849.349976,827.777039,1705466
6/22/2017,847.474976,858,845.599976,849,827.436035,3337730
6/23/2017,851,851.375,837.599976,839.325012,818.006775,2608734
6/27/2017,844.5,847.5,828.125,833.825012,812.646423,3000216
6/28/2017,832.5,837.5,828.900024,833.224976,812.061707,2224518
6/29/2017,833.5,840.950012,825.549988,831.525024,815.789795,4593854
6/30/2017,826.900024,830,821.5,826.025024,810.393921,2165216
7/3/2017,826.299988,833.75,823.625,829.299988,813.606934,1752166
7/4/2017,830.125,833.349976,826,826.674988,811.031494,1883040
7/5/2017,826.549988,829.75,822.5,824.375,808.775024,2007100
7/6/2017,826.275024,831.5,825.674988,829.075012,813.386169,2285838
7/7/2017,830.424988,834.799988,829,833.599976,817.8255,2758698
7/10/2017,834,874,830.525024,838.174988,822.313965,654626
7/11/2017,838.775024,845.400024,833.549988,840.200012,824.300598,2205140
7/12/2017,840,842.5,829.275024,840.625,824.71759,2869446
7/13/2017,844,846.650024,839.825012,841.775024,825.845825,2240502
7/14/2017,841.950012,843.025024,836,839.974976,824.079834,1221626
7/17/2017,841.275024,843.825012,838.5,841.174988,825.257202,1199670
7/18/2017,839.849976,843.924988,838.674988,841.775024,825.845825,1161094
7/19/2017,842.5,848.099976,840.924988,846.150024,830.138062,1993622
7/20/2017,846.950012,857.5,844.075012,855.450012,839.262024,1849238
7/21/2017,857.049988,857.625,850,851.525024,835.411377,1936754
7/24/2017,855,870,847.5,867.549988,851.133057,9839088
7/25/2017,879.5,879.5,866.525024,869.825012,853.36499,5580234
7/26/2017,871,877.5,866.25,873.775024,857.240295,1947672
7/27/2017,878,899.400024,875.775024,894.825012,877.891968,8980856
7/28/2017,886,893.25,880.549988,889.25,872.422363,4627698
7/31/2017,888.775024,895.5,883.275024,892.200012,875.316589,3684570
8/1/2017,890.924988,904.575012,886.099976,898.599976,881.595459,4258430
8/2/2017,903.5,903.5,891.025024,895.825012,878.872986,3698958
8/3/2017,894,896,887.200012,889.974976,873.133728,2128392
8/4/2017,888.5,898.375,883.075012,895.125,878.186279,1772534
8/7/2017,893,898.224976,892.5,894.275024,877.352417,959330
8/8/2017,896.049988,898.625,883.049988,888.950012,872.128052,2017686
8/9/2017,885.5,888.525024,879.174988,882.224976,865.530273,1635028
8/10/2017,880,883,876.424988,880.224976,863.568176,3894222
8/11/2017,872.5,879,865.575012,874.525024,857.976074,3179918
8/14/2017,876.5,887.474976,874,878.599976,861.973938,1788542
8/16/2017,881.174988,894.900024,874.275024,890.625,873.771362,2213416
8/17/2017,888.125,890.474976,876.875,882.700012,865.996399,2727434
8/18/2017,880,880.5,871.5,876.075012,859.496765,1853732
8/21/2017,877,879.5,869.099976,871.599976,855.106384,2004862
8/22/2017,875.650024,877,868.400024,873.5,856.970459,3304778
8/23/2017,875,888.974976,875,886.224976,869.454712,1680262
8/24/2017,887.450012,887.474976,879.575012,881.25,864.573792,3939138
8/28/2017,881.200012,885.575012,879.174988,881.125,864.451172,753892
8/29/2017,879.5,879.5,869,873.075012,856.553528,2459298
8/30/2017,875.974976,885,875.025024,884.275024,867.541565,1347160
8/31/2017,886,889.924988,878.200012,888.224976,871.416809,3651718
9/1/2017,890.5,890.724976,880.549988,883.799988,867.075562,1147586
9/4/2017,882.5,882.5,873.049988,875.450012,858.883667,1821262
9/5/2017,878.5,882.450012,875.5,877.674988,861.066467,1841218
9/6/2017,871.875,881.400024,869,879.950012,863.298401,2875816
9/7/2017,880.049988,888.375,880.049988,883.275024,866.560486,3473210
9/8/2017,886.700012,895,885.5,893.825012,876.910828,4155832
9/11/2017,896.5,914.5,895.099976,911.674988,894.423096,5738838
9/12/2017,913.849976,919.950012,909.150024,917.599976,900.23584,3343840
9/13/2017,917.5,924.5,912,920.924988,903.498047,2497688
9/14/2017,920.075012,926.25,915.75,919.700012,902.296204,4077008
9/15/2017,918,925.900024,916.724976,924.474976,906.980835,1883666
9/18/2017,926.775024,932.224976,926.25,930.224976,912.622009,2042464
9/19/2017,932.450012,934,923.775024,924.849976,907.348694,2120734
9/20/2017,924,930.724976,922.625,924.424988,906.931824,1723064
9/21/2017,924,924.25,915.349976,919.549988,902.148987,3856248
9/22/2017,917.400024,919.474976,910,912.049988,894.790955,4121762
9/25/2017,911.224976,911.224976,896.299988,899.875,882.846313,5074614
9/26/2017,894.525024,898.299988,892.5,896.150024,879.191833,5719366
9/27/2017,898,902.799988,885,888.25,871.441345,3668610
